ts,protocol,source,device,message,word_count,action_category,actual_latency_ms,cascaded_latency_ms,improvement_pct,asr_ms,llm_ms,tts_ms,direct_system,cascaded_system
1777896452.447,adaptive,guide,iphone,"Obstacle on your right, move left.",6,directional,32.27,2232.27,98.55,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896453.834,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,55.02,2255.02,97.56,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896455.603,adaptive,det,iphone,"Man ahead, 4.3 meters.",4,info,21.19,2221.19,99.05,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896458.231,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,53.18,2253.18,97.64,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896459.833,adaptive,det,iphone,"Obstacle ahead, move left.",4,directional,47.85,2247.85,97.87,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896465.859,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,25.63,2225.63,98.85,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896467.276,adaptive,det,iphone,"Person left, 2.6 meters.",4,info,124.9,2324.9,94.63,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896472.238,adaptive,det,iphone,"Person left, 2.0 meters.",4,info,26.13,2226.13,98.83,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896475.15,adaptive,det,iphone,"Clothing ahead, 3.3 meters.",4,info,2237.07,4437.07,49.58,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896477.644,adaptive,det,iphone,"Woman left, 4.4 meters.",4,info,19.46,2219.46,99.12,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896477.956,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,57.5,2257.5,97.45,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896489.968,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,16.88,2216.88,99.24,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896491.923,adaptive,det,iphone,"Person left, 2.2 meters.",4,info,9.6,2209.6,99.57,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896501.986,adaptive,guide,iphone,Stop. Obstacle ahead.,3,stop,11.28,2211.28,99.49,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896505.175,adaptive,det,iphone,Stop. Obstacle ahead.,3,stop,30.57,2230.57,98.63,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
1777896507.867,adaptive,det,iphone,"Man left, 2.0 meters.",4,info,16.19,2216.19,99.27,600.0,900.0,700.0,Direct Vision-to-Speech Protocol,Cascaded ASR-LLM-TTS
