ts,protocol,selected_protocol,source,device,message,word_count,closest_label,distance_m,direction,action_category,t_frame_received,t_detection_done,t_decision_started,t_message_generated,t_tts_requested,t_audio_started,t_audio_completed,detection_latency_ms,decision_latency_ms,speech_latency_ms,response_latency_ms,cascaded_latency_ms,improvement_pct,is_duplicate,overlap_skipped
1777902993.53,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Book,0.314,ahead,stop,1777902993.503,1777902993.443,1777902993.505,1777902993.505,1777902993.505,1777902993.53,1777902994.965,-59.88,0.08,25.28,27.35,2227.35,98.77,False,False
1777902995.1,adaptive,adaptive,auto,iphone,Stop. Obstacle ahead.,3,Book,0.318,ahead,stop,1777902995.092,1777902994.912,1777902995.1,1777902995.1,1777902995.1,,,-180.18,0.03,,,,,True,False
1777903052.558,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Person,0.277,ahead,stop,1777903052.514,1777903052.505,1777903052.526,1777903052.526,1777903052.526,1777903052.558,1777903054.016,-9.66,0.07,31.14,43.36,2243.36,98.07,False,False
1777903061.861,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Person,1.475,ahead,directional,1777903061.841,1777903061.822,1777903061.851,1777903061.851,1777903061.851,1777903061.861,1777903064.102,-18.83,0.06,10.24,19.76,2219.76,99.11,False,False
1777903065.356,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Human face,0.861,ahead,directional,1777903065.342,1777903065.25,1777903065.351,1777903065.351,1777903065.351,1777903065.356,1777903066.874,-91.76,0.05,4.94,14.07,2214.07,99.36,False,False
1777903079.993,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Person,1.228,ahead,directional,1777903079.254,1777903079.185,1777903079.263,1777903079.263,1777903079.263,1777903079.993,1777903082.254,-69.14,0.05,730.29,739.48,2939.48,74.84,False,False
1777903083.398,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Person,1.335,ahead,directional,1777903083.374,1777903083.327,1777903083.38,1777903083.38,1777903083.38,1777903083.398,1777903085.589,-47.48,0.05,17.04,23.22,2223.22,98.96,False,False
1777903094.825,adaptive,adaptive,det,iphone,"Person ahead, 2.2 meters.",4,Person,2.192,ahead,info,1777903094.814,1777903094.805,1777903094.824,1777903094.824,1777903094.824,1777903094.825,1777903097.469,-9.48,0.12,1.37,11.04,2211.04,99.5,False,False
1777903495.009,adaptive,adaptive,det,iphone,"Obstacle on your left, move right.",6,Table,0.987,left,directional,1777903494.978,1777903494.971,1777903494.988,1777903494.988,1777903494.988,1777903495.009,1777903496.762,-6.79,0.07,20.8,31.12,2231.12,98.61,False,False
1777903518.175,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Table,0.784,left,stop,1777903518.144,1777903518.121,1777903518.145,1777903518.145,1777903518.145,1777903518.175,1777903519.629,-23.33,0.07,30.14,31.17,2231.17,98.6,False,False
